com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"704","704","فيتو","PHYTO","","","","1","","","",""
"705","705","كوبيرتون","COPPERTONE","","","","1","","","",""
"706","706","سوفيكو","SOFICO","","","","1","","","",""
"707","707","افينت","AVENT","","","","1","","","",""
"708","708","سيبلا","CIPLA","","","","1","","","",""
"709","709","كوكس بى اتش","COX PH","","","","1","","","",""
"710","710","سولفى","SOLVAY","","","","1","","","",""
"711","711","توب زد","TOP Z","","","","1","","","",""
"712","712","جيسي فارم","G.Y.S.I","","","","1","","","",""
"713","713","سمارت فارم","SMART PHARM","","","","1","","","",""
"714","714","ميدى فارم","MEDI PHARM","","","","1","","","",""
"715","715","تيد لابيدوس","TED LAPIDUS","","","","1","","","",""
"716","716","بولى فارم","POLY PHARM","","","","1","","","",""
"717","717","ف 0 نت اجبت","F O NET EGYPT","","","","1","","","",""
"718","718","ايه بى ون","A B ONE","","","","1","","","",""
"719","719","ريرى","RIRI","","","","1","","","",""
"720","720","نهر الاردن","NAHR AL ORDON","","","","1","","","",""
"721","721","فارمابلاست","PHARMAPLAST","","","","1","","","",""
"722","722","فارما كلينيك","PHARMA CLINIC","","","","1","","","1","20/09/2007 2:06:25 pm"
"723","723","ايجيبت هربال","EGYPT HERBAL","","","","1","","","",""
"724","724","البرج","BORG PH. IND.","","","","1","","","",""
"725","725","ايميج","IMAGE","","","","1","","","",""
"726","726","ايبا فارم","EPA PHARM","","","","1","","","",""
"727","727","تابوك","TABUK","","","","1","","","",""
"728","728","كريسلر","KREUSSLER","","","","1","","","",""
"729","729","الخيال","AL KHAYAL","","","","1","","","",""
"730","730","اتش.سيرم","H.SERUM AMD","","","","1","","","",""
"731","731","ايه زد","A Z","","","","1","","","1","20/09/2007 3:16:55 pm"
"732","732","فالكون جروب","FALCON GROUP","","","","1","","","",""
"733","733","دانية","DANIA","","","","1","","","1","20/09/2007 12:15:43 pm"
"734","734","دى لا لاند","DE LA LAND","","","","1","","","",""
"735","735","دى دى دى","D D D","","","","1","","","",""
"736","736","درما ساينس","DERMA SCIENCE","","","","1","","","",""
"737","737","ديبات","DEBAT","","","","1","","","",""
"738","738","اكابى","ACAPI","","","","1","","","1","08/12/2007 4:40:49 pm"
"739","739","اى جى دى","E G D","","","","1","","","1","20/09/2007 2:28:06 pm"
"740","740","ايبيكو","EIPICO","","","","1","","","",""
"741","741","ايجس","EGIS","","","","1","","","",""
"742","742","ايفا","EVA","","","","1","","","",""
"743","743","ايبيوى","EBEWE","","","","1","","","",""
"744","744","ايكارت","ECKHART","","","","1","","","",""
"745","745","ايلرت","ELERTE","","","","1","","","",""
"746","746","افون","AVON","","","","1","","","",""
"747","747","اوريفلام","ORIFLAME","","","","1","","","",""
"119","119","ايزو ميديكا","ISO MEDICA","","","","1","","","",""
"120","120","بيتا فارم","BITA PHARM","","","","1","","","",""
"121","121","كابي","KABI","","","","1","","","",""
"122","122","دوماكو","DOMACO","","","","1","","","",""
"123","123","ريشلر","RICHELER","","","","1","","","",""
"124","124","اوريتس","ORITIS","","","","1","","","",""
"125","125","مينثولاتم","MENTHOLATUM","","","","1","","","",""
"126","126","بينو سيلفيستر","PINO SILVESTRE","","","","1","","","",""
"127","127","شين بونج فارما","SHIN PONG PHARMA","","","","1","","","",""
"128","128","بيجينج يونيون","BEIJING UNION","","","","1","","","",""
"129","129","سانكيو فارما","SANKYO PHARMA","","","","1","","","",""
"130","130","ايجيبشان بروموترز سنتر","EGYPTIAN  PROMOTERS CENTER","","","","1","","","1","20/09/2007 1:41:57 pm"
"131","131","وايمر","WEIMER","","","","1","","","",""
"132","132","جيسلك فارما","GEISTLICH  PHARMA","","","","1","","","",""
"133","133","تكنو ايجبت","TECHNO EGYPT","","","","1","","","",""
"134","134","تراست ميديكال","TRUST MEDICAL","","","","1","","","",""
"135","135","الصفوة","AL SAFWA","","","","1","","","1","08/12/2007 4:39:38 pm"
"136","136","لادي فيت","LADY VIT","","","","1","","","",""
"137","137","هيبا كير","HEBI CARE","","","","1","","","",""
"138","138","مايولي  سبندلر","MAYOLY SPINDLER","","","","1","","","",""
"139","139","بيوتست","BIOTEST","","","","1","","","",""
"140","140","فيرميون","FERMION","","","","1","","","",""
"141","141","ايجي فار","EGYPHAR","","","","1","","","1","20/09/2007 1:41:46 pm"
"142","142","شواب","SCHWAB","","","","1","","","",""
"143","143","مالتى لينك","MULTI LINK","","","","1","","","",""
"144","144","بي.بي.إل","B.P.L","","","","1","","","",""
"145","145","ماي أند بيكر","MAY & BAKER","","","","1","","","",""
"146","146","ماركريل","MARCRYL","","","","1","","","",""
"147","147","اماندا","AMANDA","","","","1","","","",""
"148","148","ايفا فارما","EVA PHARMA","","","","1","","","",""
"149","149","ستادا","STADA","","","","1","","","1","30/10/2007 5:23:01 am"
"150","150","ميرز","MERZ","","","","1","","","",""
"151","151","ميديكا اوفرسيز","MEDICA OVERSEAS","","","","1","","","",""
"152","152","ريكيليت لابز","RICHELETE LABS","","","","1","","","",""
"153","153","كومفيتا","COMVITA","","","","1","","","",""
"154","154","ماميش جي.إم.بي.إتش","MAMISCH G.M.B.H.","","","","1","","","",""
"155","155","ليون","LEON","","","","1","","","",""
